Metric Label,Unit,Metric Ref,Components,Terms,Complexity,Definition,Metric Expression,Periods,Dims,Business Model(s),Buying Model(s),Set(s),Theme,Source System(s),Owning Team(s),Watching Team(s)
Expansion Deal Size,$,ExpandDealSize,ExpandBks; WonExpandDeals,,Composite,The ratio of Expansion Bookings against Won Expansion Deal.,{ExpandBksₜ} / {WonExpandDealsₜ},"Month, Quarter",[Customer Dims]; [Contract Dims]; [Subscription Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty; Growth,Revenue Growth; Expansion,CRM,Customer Success,Finance
Upsells,n,Upsells,,Customers; Subscriptions; Expansion Deals,Atomic,The count of Expansion Opportunities won in the period that represent Customers purchasing or consuming more entitlements on their existing Subscriptions.,,"Week, Month, Quarter",[Customer Dims]; [Contract Dims]; [Subscription Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Expansion,CRM; ERP; Billing & Invoicing,Customer Success,Customer Success
Cross-Sells,n,CrossSells,,Expansion Opportunities; Customers; Subscriptions,Atomic,The count of Expansion Opportunities won in the period that represent Customers purchasing additional Subscriptions across new products or plans.,,"Week, Month, Quarter",[Customer Dims]; [Contract Dims]; [Subscription Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Expansion,CRM; ERP; Billing & Invoicing,Customer Success,Customer Success
Upsell Share of Expansion,n,UpsellShareExpand,Upsells; WonExpandDeals,,Composite,The share of Won Expansion Deals driven by Customers purchasing or consuming more entitlements on their existing subscriptions (Upsells).,{Upsellsₜ} / {WonExpandDealsₜ},"Month, Quarter",[Customer Dims]; [Contract Dims]; [Subscription Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Expansion,CRM; ERP; Billing & Invoicing,Customer Success,Customer Success
Cross-Sell Share of Expansion,n,CrossSellShareExpand,CrossSells; WonExpandDeals,,Composite,The share of Won Expansion Deals driven by Customers purchasing additional subscriptions across new products or plans (Cross-Sells).,{CrossSellsₜ} / {WonExpandDealsₜ},"Month, Quarter",[Customer Dims]; [Contract Dims]; [Subscription Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Expansion,CRM; ERP; Billing & Invoicing,Customer Success,Customer Success
Attached Customers,n,AttachCust,,Customers; Subscriptions,Atomic,The count of Customers who have purchased multiple active Subscriptions.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Expansion,CRM; ERP,Customer Success,Sales
Attached Customer Rate,%,AttachCustRate,AttachCust; TotCust,,Composite,The share of Total Customers that are Attached Customers.,{AttachCustₜ} / {TotCustₜ},"Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Expansion,CRM; ERP,Customer Success,Sales
Fast-Follow Booking Value,$,FastFollwBkVal,,Bookings; Total Contract Value,Atomic,The average Total Contract Value for Fast Follow Bookings in the period. Fast Follow Bookings are additional Bookings that occur in the same calendar month as the initial customer Booking.,,"Week, Month, Quarter",[Customer Dims]; [Contract Dims]; [Subscription Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Revenue Growth; Expansion,CRM; ERP; Billing & Invoicing,Customer Success,Finance
Expanded Renewals,n,ExpandRenewals,,Contracts,Atomic,The count of Contracts that renewed in the period that represent an expansion in MRR relative to the prior contract.,,"Week, Month, Quarter",[Customer Dims]; [Contract Dims]; [Subscription Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Revenue Growth; Expansion,CRM; ERP; Billing & Invoicing,Customer Success,Customer Success
Expansion Share of Renewals,%,ExpandShareRenewals,ExpandRenew; RenewCtrcts,,Composite,The share of Renewed Contracts in the period that represent an expansion relative to the prior contract (Expansion Renewals).,{ExpandRenewₜ} / {RenewCtrctsₜ},"Month, Quarter",[Customer Dims]; [Contract Dims]; [Subscription Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Revenue Growth; Expansion,CRM; ERP; Billing & Invoicing,Customer Success,Customer Success
Expansion Per Expanded Renewal,$,ExpandPerExpandRenewal,,,Atomic,The average incremental MRR added per Expansion Renewal in the period.,,"Month, Quarter",[Customer Dims]; [Contract Dims]; [Subscription Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Revenue Growth; Expansion; Renewals,CRM; ERP; Billing & Invoicing,Customer Success,Finance
Total Email Subscribers,n,TotEmailSubs,,Marketable Contacts,Atomic,The count of individuals with unique and valid email addresses who are opted in to marketing communications as of the beginning of the period.,,"Week, Month, Quarter",[Contact Dims]; [Customer Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing; CRM,Marketing,Sales Development; Sales
Email Subscriber Growth Rate,%,EmailSubsGrowthRate,TotEmailSubs; TotEmailSubs,,Composite,The rate of growth in Email Subscribers between the prior period and the current one.,({TotEmailSubsₜ} - {TotEmailSubsₜ₋₁}) / {TotEmailSubsₜ₋₁},"Week, Month, Quarter",[Contact Dims]; [Customer Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing; CRM,Marketing,Sales Development; Sales
Social Followers Growth Rate,%,SocFollwGrowthRate,SocFollw; SocFollw,,Composite,The rate of growth in Social Followers from the prior period to the current period.,({SocFollwₜ} - {SocFollwₜ₋₁}) / {SocFollwₜ₋₁},"Week, Month, Quarter",Social Plat[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Marketing Automation; CRM,Marketing,Sales Development; Sales
Website Sessions,n,WebSess,,Website Sessions,Atomic,The count of Visitor Sessions on company-owned websites during the period.,,"Day, Week, Month, Quarter",[Session Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Website,CMS,Marketing,Sales Development; Sales
Organic Sessions,n,OrgSess,,Organic Channels; Website Sessions,Atomic,The count of Website Sessions that originated from Organic Channels in the period.,,"Week, Month, Quarter",[Session Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Website,CMS,Marketing,
Organic Share of Traffic,%,OrgShareTraffic,,Website Sessions; Organic Channels,Atomic,The share of Website Sessions in the period that originated from Organic Channels.,,"Week, Month, Quarter",[Device Dims]; [Contact Dims]; [Session Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Website,CMS,Marketing,
Website Visitors,n,WebVisits,,Customers,Atomic,"The count of unique visitors to company-owned websites (i.e. homepage, landing pages, microsites, etc.) during the period. Note, if possible, this should exclude visits from Customers.",,"Week, Month, Quarter",,B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Website,CMS,Marketing,Sales Development; Sales
Email Traffic,n,EmailTraffic,,Website Sessions,Atomic,The count of Website Sessions in the period that originated from email links.,,"Week, Month, Quarter",Campaign; [Device Dims]; [Contact Dims]; [Session Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing,Marketing,
Email Share of Traffic,%,EmailShareTraffic,,Website Sessions,Atomic,The share of Website Sessions in the period that originated from email links.,,"Week, Month, Quarter",[Device Dims]; [Contact Dims]; [Session Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing,Marketing,
Referral Link Traffic,n,RefLinkTraffic,,Website Sessions,Atomic,The count of Website Sessions in the period that originated from referral links.,,"Week, Month, Quarter",Campaign; [Device Dims]; [Contact Dims]; [Session Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Referral,Referral Software,Marketing,
Referral Link Share of Traffic,%,RefLinkShareTraffic,,Website Sessions,Atomic,The share of Website Sessions in the period that originated from referral links.,,"Week, Month, Quarter",[Device Dims]; [Contact Dims]; [Session Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Referral,Referral Software,Marketing,
Paid Traffic,n,PaidTraffic,,Website Sessions,Atomic,"The count of Website Sessions in the period that originated from paid search, social, or display advertising.",,"Week, Month, Quarter",Campaign; [Device Dims]; [Contact Dims]; [Session Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Performance Marketing,Marketing Automation,Marketing,
Paid Share of Traffic,%,PaidShareTraffic,,Website Sessions,Atomic,The share of Website Sessions in the period that originated from paid marketing channels.,,"Week, Month, Quarter",[Device Dims]; [Contact Dims]; [Session Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Performance Marketing,Marketing Automation,Marketing,
Social Media Traffic,n,SocMediaTraffic,,Website Sessions,Atomic,The count of Website Sessions in the period that originated from social media platforms.,,"Week, Month, Quarter",Campaign; [Device Dims]; [Contact Dims]; [Session Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Marketing Automation,Marketing,
Social Share of Traffic,%,SocShareTraffic,,Website Sessions,Atomic,The share of Website Sessions in the period that originated from social media.,,"Week, Month, Quarter",[Device Dims]; [Contact Dims]; [Session Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Marketing Automation,Marketing,
WOM Coefficient,n,WOMCof,NewOrganicSusp; TotCust,Organic-Sourced,Composite,The ratio of New Organic Suspects against Total Customers.,{NewOrganicSuspₜ} / {TotCustₜ},"Week, Month, Quarter",,B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Website,CRM; Marketing Automation,Marketing,Finance
Page Views,n,PgViews,,,Atomic,The count of unique page loads on company-owned websites during the period.,,"Day, Week, Month, Quarter",Campaign,B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Website,CMS,Marketing,
New Visitors,n,NewVisits,,Website Visitors,Atomic,"The count of Website Visitors whose first visit to company-owned websites (i.e. homepage, landing pages, microsites, etc.) occurred during the period.",,"Week, Month, Quarter",[Lead Touches Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Website,CMS,Marketing,
Repeat Visitors,n,RptVisits,,Website Visitors,Atomic,"The count of Website Visitors who visited company-owned websites (i.e. homepage, landing pages, microsites, etc.) both during and prior to the period.",,"Week, Month, Quarter",[Lead Touches Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Website,CMS,Marketing,
New Share of Visitors,%,NewShareVisits,NewVisits; WebVisits,,Composite,The share of Website Visitors in the period that are New Visitors.,{NewVisitsₜ} / {WebVisitsₜ},"Week, Month, Quarter",[Lead Touches Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Website,CMS,Marketing,
Page Views Per Session,r,PgViewsPerSess,PgViews; WebSess,,Composite,The ratio of Page Views against Website Sessions.,{PgViewsₜ} / {WebSessₜ},"Week, Month, Quarter",[Session Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Website,CMS,Marketing,
Single Page Sessions,n,SingPgSess,,Website Sessions,Atomic,The count of Website Sessions in the period that included a single page view.,,"Week, Month, Quarter",[Session Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Website,CMS,Marketing,
Sessions Per Visitor,r,SessPerVisit,WebSess; WebVisits,,Composite,The ratio of Website Sessions against Website Visitors.,{WebSessₜ} / {WebVisitsₜ},"Week, Month, Quarter",[Session Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Website,CMS,Marketing,
Session Duration,min,SessDur,,Website Visitors; Website Sessions,Atomic,"The average duration, in minutes, spent by Website Visitors per Website Sessions in the period.",,"Week, Month, Quarter",[Session Dims]; [Lead Touches Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Website,CMS,Marketing,
Time on Site,s,TimeOnSite,,Website Visitors,Atomic,"The average duration, in seconds, that Website Visitors spent spent on the website domain during the period. Note: this metric only measures the average time spent by users on non-exit pages (that is, the last page of a website session).",,"Week, Month, Quarter",Campaign,B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Website,CMS,Marketing,
Return Visit Rate,%,RtnVisitRate,,Website Visitors; Website Sessions,Atomic,The share of Website Visitors in the period with more than 1 historical Website Session across that or any prior period.,,"Week, Month, Quarter",[Lead Touches Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Website,CMS,Marketing,
Website Bounce Rate,%,WebBounceRate,SingPgSess; WebSess,,Composite,The ratio of Single Page Sessions against Website Sessions.,{SingPgSessₜ} / {WebSessₜ},"Week, Month, Quarter",[Lead Touches Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Website,CMS,Marketing,
Page Speed,sec,PgSpeed,,,Atomic,"The average duration, in milliseconds, per website page load in the period.",,"Week, Month, Quarter",[Lead Touches Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Website,CMS,Marketing,
New Email Subscribers,n,NewEmailSubs,,Marketable Contacts,Atomic,The count of Marketable Contacts who opted into their first email list during the period.,,"Week, Month, Quarter",[Lead Touches Dims]; [Contact Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing; CRM,Marketing,Sales Development; Sales
New Email List Subscribers,n,NewEmailListSubs,,Marketable Contacts,Atomic,The count of Marketable Contacts who opted into any email list during the period.,,"Week, Month, Quarter",[Lead Touches Dims]; [Contact Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing; CRM,Marketing,
Sent Emails,n,SentEmails,,,Atomic,The count of outbound marketing emails sent in the period.,,"Week, Month, Quarter",Campaign; [Contact Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing; Transactional Email,Marketing,Sales Development; Sales
Emailed Contacts,n,EmailCtcts,,Marketable Contacts,Atomic,The count of unique Marketable Contacts that were sent outbound marketing emails during the period.,,"Week, Month, Quarter",Campaign; [Contact Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing; CRM,Marketing,Sales Development; Sales
Sent Emails Per Contact,r,SentEmailsPerCtct,SentEmails; EmailCtcts,,Composite,The ratio of Sent Emails against Emailed Contacts.,{SentEmailsₜ} / {EmailCtctsₜ},"Week, Month, Quarter",Campaign; [Contact Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing; CRM,Marketing,
Delivered Emails,n,DeliverEmails,,,Atomic,The count of individual emails sent in the period that were successfully delivered to recipients' inboxes.,,"Week, Month, Quarter",Campaign; [Contact Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing; Transactional Email,Marketing,
Reached Contacts,n,ReachCtcts,,,Atomic,The count of contacts that were successfully delivered emails during the period.,,"Week, Month, Quarter",Campaign; [Contact Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing; CRM,Marketing,
Email Bounces,n,EmailBounces,,,Atomic,The count of emails sent in the period that failed to successfully reach recipients due to invalid or unreachable addresses.,,"Week, Month, Quarter",Campaign; [Contact Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing; Transactional Email,Marketing,
Email Bounce Rate,%,EmailBounceRate,EmailBounces; SentEmails,,Composite,The ratio of Email Bounces against Sent Emails.,{EmailBouncesₜ} / {SentEmailsₜ},"Week, Month, Quarter",Campaign; [Contact Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing,Marketing,
Opened Emails,n,OpenEmails,,,Atomic,The count of unique emails opened by recipients during the period.,,"Week, Month, Quarter",Campaign; [Contact Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing; Transactional Email,Marketing,
Email Open Rate,%,EmailOpenRate,OpenEmails; DeliverEmails,,Composite,The share of Delivered Emails in the period that were opened (Opened Emails).,{OpenEmailsₜ} / {DeliverEmailsₜ},"Week, Month, Quarter",Campaign; [Contact Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing,Marketing,
Email Opens,n,EmailOpens,,,Atomic,The count of total marketing email opens during the period.,,"Week, Month, Quarter",Campaign; [Contact Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing; Transactional Email,Marketing,
Email Clicks,n,EmailClicks,,,Atomic,The count of total clicks or CTA engagements on emails that were sent in the period.,,"Week, Month, Quarter",Campaign; [Contact Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing; Transactional Email,Marketing,
Unique Email Clicks,n,UniqEmailClicks,,,Atomic,The count of unique email recipients who clicked on a link or engaged with a CTA in emails that were sent in the period.,,"Week, Month, Quarter",Campaign; [Contact Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing; Transactional Email,Marketing,
Clicked Emails,n,ClickEmails,,Delivered Emails,Atomic,The count of Delivered Emails in the period that receive at least one clicks or reply.,,"Week, Month, Quarter",Campaign; [Contact Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing; Transactional Email,Marketing,
Engaged Email Subscribers,n,EngagEmailSubs,,Email Subscribers,Atomic,"The count of Email Subscribers that opened, clicked, or replied to emails in the period.",,"Week, Month, Quarter",Campaign; [Contact Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing; CRM,Marketing,Sales Development; Sales
Active/Engaged Email Subscribers Rate,%,ActiveEngagEmailSubsRate,EngagEmailSubs; TotEmailSubs,,Composite,The ratio of Engaged Email Subscribers against Total Email Subscribers.,{EngagEmailSubsₜ} / {TotEmailSubsₜ},"Week, Month, Quarter",Campaign; [Contact Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing; CRM,Marketing,Sales Development; Sales
Email Click-Through Rate,%,EmailClickThruRate,ClickEmails; DeliverEmails,,Composite,The ratio of Clicked Emails against Delivered Emails.,{ClickEmailsₜ} / {DeliverEmailsₜ},"Week, Month, Quarter",Campaign; [Contact Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing,Marketing,
Email Click-to-Open Rate,%,EmailClickOpenRate,ClickEmails; OpenEmails,,Composite,The ratio of Clicked Emails against Opened Emails.,{ClickEmailsₜ} / {OpenEmailsₜ},"Week, Month, Quarter",Campaign; [Contact Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Email,Email Marketing,Marketing,
Referral Invites,n,RefInvites,,Referral Invites,Atomic,The count of unique recipients that were sent Referral Invites during the period.,,"Week, Month, Quarter",[Referral Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Referral,Referral Software,Marketing,
Unique Referral Link Views,n,UniqRefLinkViews,,,Atomic,The count of unique visitors that viewed referral links during the period.,,"Week, Month, Quarter",[Referral Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Referral,Referral Software; CMS,Marketing,
Cumulative Referral Invites,n,CumRefInvites,,Referral Invites,Atomic,The cumulative count of historical Referral Invites sent as of the beginning of the period.,,"Week, Month, Quarter",[Referral Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Referral,Referral Software,Marketing,
Accepted Referrals,n,AcceptRef,,Suspects; New Trials,Atomic,The count of New Suspects or New Trials in the period originating from referral links.,,"Week, Month, Quarter",[Referral Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Referral,Referral Software,Marketing,
Referral Invite Conversation Rate,%,RefInvitConvRate,,Referral Invites,Atomic,The share of Referral Invites sent in the period that led to a signup.,,"Week, Month, Quarter",[Referral Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Referral,Referral Software,Marketing,
Referred Customers,n,RefCust,,Customers,Atomic,The count of New Customers in the period that were generated by referrals from existing Customers.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Referral,Referral Software; CRM,Marketing,
Total Referred Customers,n,TotRefCust,,,Atomic,The cumulative count of Customers generated from customer referral programs as of the beginning of the period.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Referral,Referral Software; CRM,Marketing,
Referral Conversion Rate,%,RefConvRate,,,Atomic,The percent of Accepted Referrals in the period that subsequently became paying Customers (Referred Customers).,,"Week, Month, Quarter",[Referral Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Referral,Referral Software; CRM,Marketing,
Referral K-Factor,r,RefKFactr,TotRefCust; TotCust,,Composite,The ratio of Total Referred Customers against Total Customers.,{TotRefCustₜ} / {TotCustₜ},"Week, Month, Quarter",[Referral Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Referral,Referral Software,Marketing,
Referrers,n,Referrs,,Referral Invite,Atomic,The count of Customers that have sent at least one Referral Invite as of the beginning of the period.,,"Week, Month, Quarter",[Referral Dims]; [Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Referral,Referral Software; CRM,Marketing,
Referral Participation Rate,%,RefParticRate,,Customers; Referral Invite,Atomic,The percent of Customers that have generated at least one Referral Invite.,,"Week, Month, Quarter",[Referral Dims]; [Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Referral,Referral Software; CRM,Marketing,
Activated Referrers,n,ActivatdReferrs,,Customers,Atomic,The count of Customers who have successfully referred at least one other Customer as of the beginning of the period.,,"Week, Month, Quarter",[Referral Dims]; [Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Referral,Referral Software; CRM,Marketing,
Invites Per Referrer,n,InvitePerRef,,Referral Invite; Referrer,Atomic,The number of historical Referral Invites generated per Referrer as of the beginning of the period.,,"Week, Month, Quarter",[Referral Dims]; [Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Referral,Referral Software,Marketing,
Ad Impressions,n,AdImps,,,Atomic,The count of views that digital advertisements received on publisher networks during the period.,,"Week, Month, Quarter",Campaign; [Ad Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Performance Marketing,Marketing Automation; CRM,Marketing,
CPM,$,CPM,AdImps; AdSpend,,Composite,The ratio of Ad Impressions against Ad Spend.,{AdImpsₜ} / {AdSpendₜ},"Week, Month, Quarter",Campaign; [Ad Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Performance Marketing,Marketing Automation,Marketing,Finance
Ad Clicks,n,AdClicks,,,Atomic,The count of clicks on digital advertisements during the period.,,"Week, Month, Quarter",Campaign; [Ad Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Performance Marketing,Marketing Automation; CRM,Marketing,
Ad Click-Through Rate,%,AdClickThruRate,,,Atomic,The percent of Ad Impressions in the period that received a click.,,"Week, Month, Quarter",Campaign; [Ad Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Performance Marketing,Marketing Automation,Marketing,
Ad Cost-Per-Click,$,AdCPC,AdClicks; AdSpend,,Composite,The ratio of Ad Clicks against Ad Spend in the period.,{AdClicksₜ} / {AdSpendₜ},"Week, Month, Quarter",Campaign; [Ad Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Performance Marketing,Marketing Automation,Marketing,Finance
Ad Click-to-Visit Rate,%,AdClickVisitRate,,Website Session,Atomic,The percent of Ad Clicks in the period that resulted in a Website Session.,,"Week, Month, Quarter",Campaign; [Ad Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Performance Marketing,Marketing Automation; CRM,Marketing,
Video Ad Views,n,VideoAdViews,,,Atomic,The count of views that paid video ads received during the period.,,"Week, Month, Quarter",Campaign; [Ad Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Marketing Automation; CRM,Marketing,
Video Ad Watch Time,min,VideoAdWatchTime,,,Atomic,The total count of minutes that viewers spent watching marketing videos in the period.,,"Week, Month, Quarter",Campaign; [Ad Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Marketing Automation; CRM,Marketing,
Video Ad View Duration,min,VideoAdViewDur,,,Atomic,"The average duration, in minutes, of marketing video views in the period.",,"Week, Month, Quarter",Campaign; [Ad Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Marketing Automation,Marketing,
New Social Followers,n,NewSocFollowers,,,Atomic,The count of new followers on social platforms during the period.,,"Week, Month, Quarter",Social Plat[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Social Media; CRM,Marketing,
Total Social Followers,n,TotSocFollowers,,,Atomic,The total count of social media followers as of the beginning of the period.,,"Week, Month, Quarter",Social Plat[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Social Media; CRM,Marketing,
Social Posts,n,SocPosts,,,Atomic,The count of posts published on social media platforms during the period.,,"Week, Month, Quarter",Social Plat[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Social Media; CRM,Marketing,
Social Comments,n,SocComms,,,Atomic,The count of comments made during the period on social media posts.,,"Week, Month, Quarter",Social Plat[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Social Media; CRM,Marketing,
Social Talk Rate,%,SocTalkRate,SocComms; TotSocFollowers,,Composite,The ratio of Social Comments against Total Social Followers.,{SocCommsₜ} / {TotSocFollowersₜ},"Week, Month, Quarter",Social Plat[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Social Media,Marketing,
Social Shares,n,SocShares,,,Atomic,The count of social posts shared or otherwise amplified during the period.,,"Week, Month, Quarter",Social Plat[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Social Media; CRM,Marketing,
Social Likes,n,SocLikes,,,Atomic,"The count of ""likes"" or ""favorites"" of social media posts during the period.",,"Week, Month, Quarter",Social Plat[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Social Media; CRM,Marketing,
Comments Per Social Post,r,CommsPerSocPost,SocComms; SocPosts,,Composite,The ratio of Social Comments against Social Posts published in the period.,{SocCommsₜ} / {SocPostsₜ},"Week, Month, Quarter",Social Plat[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Social Media,Marketing,
Shares Per Social Post,r,SharesPerSocPost,SocShares; SocPosts,,Composite,The ratio of Social Shares against Social Posts published in the period.,{SocSharesₜ} / {SocPostsₜ},"Week, Month, Quarter",Social Plat[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Social Media,Marketing,
Likes Per Social Post,r,LikesPerSocPost,SocLikes; SocPosts,,Composite,The ratio of Social Likes against Social Posts published in the period.,{SocLikesₜ} / {SocPostsₜ},"Week, Month, Quarter",Social Plat[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Social Media,Marketing,
Social Reach,n,SocReach,,,Atomic,The count of unique individuals who saw any social media post during the period. Note: individuals may be double-counted across social media platforms.,,"Week, Month, Quarter",Social Plat[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Social Media; CRM,Marketing,
Organic Social Reach,n,OrgSocReach,,,Atomic,The count of unique individuals who saw any organic social media post during the period. Note: individuals may be double-counted across social media platforms.,,"Week, Month, Quarter",Social Plat[Form Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Demand Generation,Social,Social Media,Marketing,
